Date,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Sales,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Profit before tax,Tax,Net profit,Net Block,Investments,Other Assets,Cash & Bank,No. of Equity Shares,Total,Close,High,Low,Open,Volume,Ticker,increase,percentage_increase,undervalued
2021-04-01,23215.17769,-2909.696154,-14264.80615,6040.675385,239141.6,8672.700769,4744.938462,2219.113077,3768.116923,7292.5,4418.836154,21940.07462,5053.962308,15820.09692,65621.62923,26525.28154,53959.58462,7658.308462,2095724341.0,163020.3746,127.491745,132.8227767,120.8166246,129.8778715,14471996.0,BPCL.BO,7.113082900000009,0.055792497780934834,0
2021-05-01,22975.21538,-3345.352308,-14548.71231,5081.150769,248112.39,8759.231538,4633.526923,2309.796154,3838.483846,7096.41,4503.462308,21448.12923,4995.734615,15475.21385,67144.94846,26282.83308,54844.47923,7206.506923,2098535270.0,165062.7292,142.5636292,147.3962945,125.4831811,126.8574666,24415452.0,BPCL.BO,-0.10574350000001687,-0.0007417284520140208,0
2021-06-01,22735.25308,-3781.008462,-14832.61846,4121.626154,257083.18,8845.762308,4522.115385,2400.479231,3908.850769,6900.32,4588.088462,20956.18385,4937.506923,15130.33077,68668.26769,26040.38462,55729.37385,6754.705385,2101346199.0,167105.0838,141.4007568,149.1179244,140.4493277,142.8656603,15532216.0,BPCL.BO,-10.828186000000017,-0.07657799183716968,0
2021-07-01,22495.29077,-4216.664615,-15116.52462,3162.101538,266053.97,8932.293077,4410.703846,2491.162308,3979.217692,6704.23,4672.714615,20464.23846,4879.279231,14785.44769,70191.58692,25797.93615,56614.26846,6302.903846,2104157128.0,169147.4385,134.6048279,141.6575006,134.4085027,141.6575006,11754710.0,BPCL.BO,30.7084198,0.22813758079178081,1
2021-08-01,22255.32846,-4652.320769,-15400.43077,2202.576923,275024.76,9018.823846,4299.292308,2581.845385,4049.584615,6508.14,4757.340769,19972.29308,4821.051538,14440.56462,71714.90615,25555.48769,57499.16308,5851.102308,2106968057.0,171189.7931,142.4578857,143.6811595,133.1248043,135.0427699,16101802.0,BPCL.BO,3.9200287000000174,0.027517105709789554,0
2021-09-01,22015.36615,-5087.976923,-15684.33692,1243.052308,283995.55,9105.354615,4187.880769,2672.528462,4119.951538,6312.05,4841.966923,19480.34769,4762.823846,14095.68154,73238.22538,25313.03923,58384.05769,5399.300769,2109778986.0,173232.1477,130.5725708,151.9269141,124.68276,142.5787236,28340316.0,BPCL.BO,25.597427400000015,0.1960398515796092,1
2021-10-01,21775.40385,-5523.633077,-15968.24308,283.5276923,292966.34,9191.885385,4076.469231,2763.211538,4190.318462,6115.96,4926.593077,18988.40231,4704.596154,13750.79846,74761.54462,25070.59077,59268.95231,4947.499231,2112589915.0,175274.5023,165.3132477,185.1983242,163.6512066,170.1608534,17198750.0,BPCL.BO,-4.484497099999999,-0.02712726997014891,0
2021-11-01,21535.44154,-5959.289231,-16252.14923,-675.9969231,301937.13,9278.416154,3965.057692,2853.894615,4260.685385,5919.87,5011.219231,18496.45692,4646.368462,13405.91538,76284.86385,24828.14231,60153.84692,4495.697692,2115400844.0,177316.8569,146.3779144,171.7437575,145.2303203,169.6662121,13329436.0,BPCL.BO,-4.690612799999997,-0.03204453909065941,0
2021-12-01,21295.47923,-6394.945385,-16536.05538,-1635.521538,310907.92,9364.946923,3853.646154,2944.577692,4331.052308,5723.78,5095.845385,18004.51154,4588.140769,13061.03231,77808.18308,24585.69385,61038.74154,4043.896154,2118211773.0,179359.2115,156.1699982,162.651762,144.847162,150.903565,15894770.0,BPCL.BO,-6.680740400000019,-0.042778641717369364,0
2022-01-01,21055.51692,-6830.601538,-16819.96154,-2595.046154,319878.71,9451.477692,3742.234615,3035.260769,4401.419231,5527.69,5180.471538,17512.56615,4529.913077,12716.14923,79331.50231,24343.24538,61923.63615,3592.094615,2121022702.0,181401.5662,160.8287506,164.7785751,149.0805547,155.1774583,11143554.0,BPCL.BO,-9.716400100000016,-0.060414571796095363,0
