Date,Sales,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Total,Receivables,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:,Adjusted Equity Shares in Cr,Close,High,Low,Open,Volume,Ticker
2021-04-01,61192.655384615384,27774.36076923077,4847.71923076923,2454.2553846153846,6326.7307692307695,-5.736923076923077,503.40384615384613,9300.992307692308,9970.666153846154,2530.5053846153846,4477.09923076923,48.964615384615385,79.57,36090.18384615385,130977.64461538462,116817.96538461538,283965.3638461539,3213.136923076923,127.61615384615384,114082.69230769231,166541.91846153847,283965.3638461539,2772.4346153846154,3486.8392307692307,159137290.0,5.0,1607.600769230769,-3289.2438461538463,4043.7815384615387,2362.138461538462,1023.7207692307693,159.15,1102.2232666015625,1128.0127944616663,901.995987317772,971.2888929302668,117486580.0,BAJAJFINSV.NS
2021-05-01,61793.79076923076,28101.36153846154,4991.028461538462,2526.600769230769,6245.991538461539,-4.603846153846154,508.3476923076923,9328.364615384617,10078.992307692308,2566.050769230769,4483.738461538462,50.18923076923077,79.57,36429.93769230769,133494.43923076923,118082.07076923078,288086.0176923077,3244.173846153846,126.38230769230769,114510.97461538462,170204.48692307694,288086.0176923077,2791.7992307692307,3563.1884615384615,159137290.0,5.0,-1332.1984615384617,-2894.6876923076925,6400.613076923077,2173.7269230769234,1080.5815384615385,159.15,1178.5538330078125,1200.380373026977,1079.513339563065,1088.1830033754318,69113720.0,BAJAJFINSV.NS
2021-06-01,62394.92615384615,28428.362307692307,5134.337692307692,2598.9461538461537,6165.252307692308,-3.470769230769231,513.2915384615385,9355.736923076924,10187.318461538462,2601.596153846154,4490.377692307692,51.41384615384615,79.57,36769.69153846154,136011.23384615386,119346.17615384616,292206.6715384616,3275.210769230769,125.14846153846153,114939.25692307693,173867.05538461538,292206.6715384616,2811.1638461538464,3639.537692307692,159137290.0,5.0,-4271.997692307692,-2500.131538461538,8757.444615384617,1985.3153846153846,1137.4423076923076,159.15,1208.775634765625,1249.7983393506315,1141.039978290774,1180.9196768784325,67368050.0,BAJAJFINSV.NS
2021-07-01,62996.06153846154,28755.363076923077,5277.6469230769235,2671.2915384615385,6084.513076923077,-2.3376923076923077,518.2353846153846,9383.10923076923,10295.644615384615,2637.1415384615384,4497.016923076923,52.63846153846154,79.57,37109.445384615385,138528.02846153846,120610.28153846154,296327.3253846154,3306.2476923076924,123.91461538461539,115367.53923076924,177529.62384615385,296327.3253846154,2830.5284615384617,3715.886923076923,159137290.0,5.0,-7211.796923076923,-2105.575384615385,11114.276153846155,1796.9038461538462,1194.303076923077,159.15,1419.71875,1489.8751796653733,1163.0509450279535,1217.654818695902,72781800.0,BAJAJFINSV.NS
2021-08-01,63597.19692307692,29082.363846153847,5420.956153846154,2743.6369230769233,6003.7738461538465,-1.2046153846153844,523.1792307692308,9410.48153846154,10403.97076923077,2672.686923076923,4503.656153846154,53.863076923076925,79.57,37449.199230769234,141044.8230769231,121874.38692307693,300447.97923076927,3337.2846153846153,122.68076923076923,115795.82153846155,181192.1923076923,300447.97923076927,2849.893076923077,3792.2361538461537,159137290.0,5.0,-10151.596153846154,-1711.0192307692307,13471.107692307693,1608.4923076923078,1251.1638461538462,159.15,1712.274169921875,1717.3913971954953,1383.1740753944712,1435.3198450398395,79955060.0,BAJAJFINSV.NS
2021-09-01,64198.332307692304,29409.364615384617,5564.265384615384,2815.9823076923076,5923.034615384615,-0.071538461538462,528.123076923077,9437.853846153846,10512.296923076923,2708.2323076923076,4510.295384615385,55.08769230769231,79.57,37788.95307692308,143561.6176923077,123138.49230769232,304568.6330769231,3368.3215384615382,121.44692307692307,116224.10384615386,184854.76076923078,304568.6330769231,2869.257692307692,3868.5853846153846,159137290.0,5.0,-13091.395384615384,-1316.4630769230766,15827.939230769232,1420.0807692307692,1308.0246153846153,159.15,1775.9775390625,1878.446899649961,1645.905084932578,1714.0415835032088,64669200.0,BAJAJFINSV.NS
2021-10-01,64799.46769230769,29736.365384615383,5707.574615384616,2888.3276923076924,5842.295384615385,1.0615384615384613,533.0669230769231,9465.226153846153,10620.623076923077,2743.7776923076926,4516.934615384615,56.31230769230769,79.57,38128.70692307693,146078.4123076923,124402.5976923077,308689.28692307696,3399.3584615384616,120.21307692307693,116652.38615384615,188517.32923076922,308689.28692307696,2888.622307692308,3944.9346153846154,159137290.0,5.0,-16031.194615384617,-921.9069230769228,18184.77076923077,1231.6692307692306,1364.8853846153847,159.15,1779.4122314453125,1929.5691670355252,1702.4141939433744,1770.9151279757543,61741940.0,BAJAJFINSV.NS
2021-11-01,65400.60307692307,30063.366153846153,5850.883846153846,2960.673076923077,5761.556153846153,2.1946153846153846,538.0107692307693,9492.59846153846,10728.94923076923,2779.323076923077,4523.573846153847,57.536923076923074,79.57,38468.46076923077,148595.2069230769,125666.70307692309,312809.9407692308,3430.3953846153845,118.97923076923077,117080.66846153846,192179.89769230768,312809.9407692308,2907.986923076923,4021.283846153846,159137290.0,5.0,-18970.993846153848,-527.350769230769,20541.60230769231,1043.2576923076922,1421.746153846154,159.15,1721.120849609375,1848.292684065104,1624.8970047129878,1787.285369840329,49613220.0,BAJAJFINSV.NS
2021-12-01,66001.73846153847,30390.366923076923,5994.193076923077,3033.0184615384615,5680.816923076923,3.327692307692307,542.9546153846154,9519.97076923077,10837.275384615385,2814.868461538462,4530.213076923077,58.761538461538464,79.57,38808.21461538462,151112.00153846154,126930.80846153847,316930.59461538465,3461.4323076923074,117.74538461538461,117508.95076923077,195842.46615384615,316930.59461538465,2927.3515384615384,4097.633076923077,159137290.0,5.0,-21910.793076923073,-132.7946153846151,22898.433846153846,854.8461538461538,1478.606923076923,159.15,1638.1319580078125,1786.2869412771274,1542.6569727630863,1741.7546025569268,55550040.0,BAJAJFINSV.NS
2022-01-01,66602.87384615385,30717.367692307693,6137.502307692308,3105.363846153846,5600.077692307692,4.460769230769231,547.8984615384616,9547.343076923076,10945.601538461538,2850.4138461538464,4536.852307692308,59.98615384615384,79.57,39147.96846153846,153628.79615384614,128194.91384615385,321051.24846153846,3492.4692307692308,116.51153846153846,117937.23307692308,199505.03461538462,321051.24846153846,2946.7161538461537,4173.982307692308,159137290.0,5.0,-24850.592307692306,261.76153846153875,25255.265384615384,666.4346153846152,1535.4676923076922,159.15,1566.575439453125,1859.2758678646949,1498.9231935171742,1638.1617732661366,64329490.0,BAJAJFINSV.NS
